id	uri
0	http://vckg.org/ontology#Acquisition
1	http://vckg.org/ontology#Airbnb
2	http://vckg.org/ontology#AndreessenHorowitz
3	http://vckg.org/ontology#BenHorowitz
4	http://vckg.org/ontology#Biotech
5	http://vckg.org/ontology#Bloomberg
6	http://vckg.org/ontology#Bloombergcom
7	http://vckg.org/ontology#DonValentine
8	http://vckg.org/ontology#Facebook
9	http://vckg.org/ontology#Fintech
10	http://vckg.org/ontology#FoundersFund
11	http://vckg.org/ontology#Github
12	http://vckg.org/ontology#Google
13	http://vckg.org/ontology#IPO
14	http://vckg.org/ontology#MarcAndreessen
15	http://vckg.org/ontology#Microsoft
16	http://vckg.org/ontology#Netscape
17	http://vckg.org/ontology#Opsware
18	http://vckg.org/ontology#Palantir
19	http://vckg.org/ontology#PaulGraham
20	http://vckg.org/ontology#SeedRound
21	http://vckg.org/ontology#SequoiaCapital
22	http://vckg.org/ontology#SeriesA
23	http://vckg.org/ontology#SeriesD
24	http://vckg.org/ontology#Skype
25	http://vckg.org/ontology#Techcrunch
26	http://vckg.org/ontology#Twitter
27	http://vckg.org/ontology#YCombinator
28	http://www.wikidata.org/entity/Q100
29	http://www.wikidata.org/entity/Q1000
30	http://www.wikidata.org/entity/Q1000053
31	http://www.wikidata.org/entity/Q1000479
32	http://www.wikidata.org/entity/Q1001932
33	http://www.wikidata.org/entity/Q100201404
34	http://www.wikidata.org/entity/Q100257356
35	http://www.wikidata.org/entity/Q1002697
36	http://www.wikidata.org/entity/Q100286218
37	http://www.wikidata.org/entity/Q100292504
38	http://www.wikidata.org/entity/Q100292691
39	http://www.wikidata.org/entity/Q100294968
40	http://www.wikidata.org/entity/Q100302975
41	http://www.wikidata.org/entity/Q1003730
42	http://www.wikidata.org/entity/Q1004175
43	http://www.wikidata.org/entity/Q100431141
44	http://www.wikidata.org/entity/Q100485
45	http://www.wikidata.org/entity/Q100490849
46	http://www.wikidata.org/entity/Q1005
47	http://www.wikidata.org/entity/Q100529665
48	http://www.wikidata.org/entity/Q100533
49	http://www.wikidata.org/entity/Q1007076
50	http://www.wikidata.org/entity/Q1008
51	http://www.wikidata.org/entity/Q100803455
52	http://www.wikidata.org/entity/Q1008864
53	http://www.wikidata.org/entity/Q1008895
54	http://www.wikidata.org/entity/Q1009
55	http://www.wikidata.org/entity/Q1009249
56	http://www.wikidata.org/entity/Q100936982
57	http://www.wikidata.org/entity/Q100965
58	http://www.wikidata.org/entity/Q100989573
59	http://www.wikidata.org/entity/Q100993326
60	http://www.wikidata.org/entity/Q100997920
61	http://www.wikidata.org/entity/Q101005524
62	http://www.wikidata.org/entity/Q101005893
63	http://www.wikidata.org/entity/Q101063835
64	http://www.wikidata.org/entity/Q101076
65	http://www.wikidata.org/entity/Q101094539
66	http://www.wikidata.org/entity/Q101094557
67	http://www.wikidata.org/entity/Q101109957
68	http://www.wikidata.org/entity/Q101146
69	http://www.wikidata.org/entity/Q101156999
70	http://www.wikidata.org/entity/Q101165220
71	http://www.wikidata.org/entity/Q1011979
72	http://www.wikidata.org/entity/Q1011981
73	http://www.wikidata.org/entity/Q1012004
74	http://www.wikidata.org/entity/Q101314811
75	http://www.wikidata.org/entity/Q101333
76	http://www.wikidata.org/entity/Q101352
77	http://www.wikidata.org/entity/Q1014
78	http://www.wikidata.org/entity/Q101406408
79	http://www.wikidata.org/entity/Q101423818
80	http://www.wikidata.org/entity/Q101439154
81	http://www.wikidata.org/entity/Q101483295
82	http://www.wikidata.org/entity/Q101506
83	http://www.wikidata.org/entity/Q101526041
84	http://www.wikidata.org/entity/Q101530270
85	http://www.wikidata.org/entity/Q10159
86	http://www.wikidata.org/entity/Q101604
87	http://www.wikidata.org/entity/Q101674980
88	http://www.wikidata.org/entity/Q101675036
89	http://www.wikidata.org/entity/Q101675234
90	http://www.wikidata.org/entity/Q1017
91	http://www.wikidata.org/entity/Q1018222
92	http://www.wikidata.org/entity/Q1019
93	http://www.wikidata.org/entity/Q101929
94	http://www.wikidata.org/entity/Q101960859
95	http://www.wikidata.org/entity/Q1019983
96	http://www.wikidata.org/entity/Q102048869
97	http://www.wikidata.org/entity/Q102104
98	http://www.wikidata.org/entity/Q102109633
99	http://www.wikidata.org/entity/Q102109715
100	http://www.wikidata.org/entity/Q102110646
101	http://www.wikidata.org/entity/Q102121453
102	http://www.wikidata.org/entity/Q102123672
103	http://www.wikidata.org/entity/Q102128790
104	http://www.wikidata.org/entity/Q102132307
105	http://www.wikidata.org/entity/Q102132669
106	http://www.wikidata.org/entity/Q102133949
